コード,全国，都道府県，市区町村,総数,男,女
00000,全国,"126,146,099","61,349,581","64,796,518"
01000,北海道,"5,224,614","2,465,088","2,759,526"
01100,札幌市,"1,973,395","918,682","1,054,713"
01101,札幌市中央区,"248,680","112,853","135,827"
01102,札幌市北区,"289,323","136,596","152,727"
01103,札幌市東区,"265,379","126,023","139,356"
01104,札幌市白石区,"211,835","100,062","111,773"
01105,札幌市豊平区,"225,298","104,154","121,144"
01106,札幌市南区,"135,777","62,347","73,430"
01107,札幌市西区,"217,040","100,027","117,013"
01108,札幌市厚別区,"125,083","56,755","68,328"
01109,札幌市手稲区,"142,625","66,913","75,712"
01110,札幌市清田区,"112,355","52,952","59,403"
01202,函館市,"251,084","113,965","137,119"
0120B,（旧：函館市）,"241,024","109,284","131,740"
01339,（旧：戸井町）,"2,291","1,026","1,265"
01340,（旧：恵山町）,"2,486","1,164","1,322"
01341,（旧：椴法華村）,745,338,407
01342,（旧：南茅部町）,"4,538","2,153","2,385"
01203,小樽市,"111,299","50,136","61,163"
01204,旭川市,"329,306","152,108","177,198"
01205,室蘭市,"82,383","40,390","41,993"
01206,釧路市,"165,077","77,506","87,571"
0120C,（旧：釧路市）,"159,011","74,548","84,463"
01666,（旧：阿寒町）,"4,390","2,127","2,263"
01669,（旧：音別町）,"1,676",831,845
01207,帯広市,"166,536","79,623","86,913"
01208,北見市,"115,480","54,729","60,751"
0120D,（旧：北見市）,"102,000","48,392","53,608"
01548,（旧：端野町）,"4,384","2,126","2,258"
01551,（旧：留辺蘂町）,"5,570","2,565","3,005"
01553,（旧：常呂町）,"3,526","1,646","1,880"
01209,夕張市,"7,334","3,381","3,953"
01210,岩見沢市,"79,306","37,105","42,201"
0121B,（旧：岩見沢市）,"72,184","33,758","38,426"
01421,（旧：北村）,"2,320","1,095","1,225"
01422,（旧：栗沢町）,"4,802","2,252","2,550"
01211,網走市,"35,759","18,060","17,699"
01212,留萌市,"20,114","9,649","10,465"
01213,苫小牧市,"170,113","83,522","86,591"
01214,稚内市,"33,563","16,651","16,912"
01215,美唄市,"20,413","9,565","10,848"
01216,芦別市,"12,555","5,762","6,793"
01217,江別市,"121,056","57,523","63,533"
01218,赤平市,"9,698","4,388","5,310"
01219,紋別市,"21,215","9,901","11,314"
01220,士別市,"17,858","8,416","9,442"
0122B,（旧：士別市）,"16,734","7,913","8,821"
01466,（旧：朝日町）,"1,124",503,621
01221,名寄市,"27,282","13,322","13,960"
0122C,（旧：名寄市）,"23,788","11,714","12,074"
01467,（旧：風連町）,"3,494","1,608","1,886"
01222,三笠市,"8,040","3,631","4,409"
01223,根室市,"24,636","11,762","12,874"
01224,千歳市,"97,950","49,790","48,160"
01225,滝川市,"39,490","18,832","20,658"
01226,砂川市,"16,486","7,607","8,879"
01227,歌志内市,"2,989","1,399","1,590"
01228,深川市,"20,039","9,362","10,677"
01229,富良野市,"21,131","9,947","11,184"
01230,登別市,"46,391","22,146","24,245"
01231,恵庭市,"70,331","34,088","36,243"
01233,伊達市,"32,826","15,176","17,650"
0123B,（旧：伊達市）,"31,748","14,674","17,074"
01574,（旧：大滝村）,"1,078",502,576
01234,北広島市,"58,171","27,763","30,408"
01235,石狩市,"56,869","27,324","29,545"
0123C,（旧：石狩市）,"54,147","25,990","28,157"
01305,（旧：厚田村）,"1,638",823,815
01306,（旧：浜益村）,"1,084",511,573
01236,北斗市,"44,302","20,542","23,760"
01335,（旧：上磯町）,"34,276","15,857","18,419"
